taxamount,yearbuilt,fips,taxvaluedollarcnt,calculatedfinishedsquarefeet,bathroomcnt,bedroomcnt,propertylandusetypeid,transactiondate
5598.08,1976.0,6111.0,523014.0,1837.0,2.0,4.0,261.0,2017-08-30
10059.43,1957.0,6037.0,815502.0,3094.0,4.0,5.0,261.0,2017-08-23
16345.17,1988.0,6037.0,1335281.0,6014.0,5.0,6.0,261.0,2017-06-15
6987.78,1951.0,6037.0,570000.0,2444.0,3.0,6.0,261.0,2017-06-20
2802.27,1958.0,6037.0,224273.0,1748.0,3.0,4.0,261.0,2017-07-10
3458.27,1939.0,6037.0,312191.0,1666.0,2.0,3.0,261.0,2017-07-21
10359.96,1964.0,6037.0,849137.0,3920.0,5.0,3.0,261.0,2017-08-29
4890.07,1955.0,6037.0,405083.0,1169.0,2.0,3.0,261.0,2017-06-29
5292.71,1963.0,6037.0,394900.0,1238.0,2.0,3.0,261.0,2017-05-31
3690.69,1959.0,6037.0,255176.0,1120.0,2.0,3.0,261.0,2017-08-08
3570.25,1970.0,6037.0,252340.0,1518.0,3.0,4.0,261.0,2017-08-24
1096.66,1947.0,6037.0,80933.0,1284.0,2.0,2.0,261.0,2017-07-25
1369.34,1953.0,6037.0,98331.0,1361.0,2.0,2.0,261.0,2017-08-28
34000.72,1950.0,6037.0,2910514.0,4850.0,6.0,5.0,261.0,2017-08-11
12226.03,1941.0,6037.0,941882.0,1726.0,2.0,3.0,261.0,2017-08-25
8753.01,1960.0,6037.0,689861.0,8163.0,5.0,5.0,261.0,2017-08-08
9041.94,1992.0,6037.0,772000.0,1972.0,3.0,3.0,261.0,2017-08-01
2328.88,1941.0,6037.0,174459.0,998.0,1.0,2.0,261.0,2017-06-15
1201.24,1946.0,6037.0,55572.0,1562.0,2.0,3.0,261.0,2017-08-25
4032.73,1955.0,6037.0,327671.0,1067.0,1.0,3.0,261.0,2017-08-11
2750.57,1950.0,6037.0,215299.0,1399.0,2.0,3.0,261.0,2017-07-21
5235.58,1971.0,6059.0,465753.0,4958.0,3.5,5.0,261.0,2017-06-08
5137.64,1978.0,6059.0,490682.0,1321.0,2.0,2.0,261.0,2017-08-31
2837.9,1987.0,6059.0,285596.0,1728.0,2.5,4.0,261.0,2017-08-11
2631.64,1985.0,6059.0,253588.0,1854.0,2.5,4.0,261.0,2017-07-18
3633.51,2005.0,6037.0,221860.0,3279.0,4.0,5.0,261.0,2017-06-01
659.02,1971.0,6111.0,51677.0,839.0,1.0,2.0,261.0,2017-08-17
1017.1,1957.0,6111.0,94711.0,1896.0,2.0,4.0,261.0,2017-07-05
4955.96,1964.0,6111.0,468524.0,2966.0,3.5,5.0,261.0,2017-08-30
10650.28,1979.0,6037.0,923464.0,2261.0,3.0,4.0,261.0,2017-08-29
8918.26,1974.0,6037.0,719517.0,3259.0,3.0,5.0,261.0,2017-08-30
5165.13,1972.0,6037.0,418694.0,2104.0,2.0,3.0,261.0,2017-05-01
2064.86,1940.0,6037.0,169843.0,872.0,1.0,2.0,261.0,2017-05-01
2366.31,1951.0,6037.0,194005.0,1190.0,1.0,3.0,261.0,2017-05-01
3550.74,1963.0,6037.0,288259.0,1534.0,2.0,3.0,261.0,2017-05-01
5295.13,1948.0,6037.0,433000.0,1247.0,2.0,3.0,261.0,2017-05-01
5804.51,1991.0,6037.0,475804.0,2616.0,4.0,4.0,261.0,2017-05-01
1322.6,1923.0,6037.0,81956.0,1194.0,2.0,2.0,261.0,2017-05-01
3707.08,1951.0,6037.0,299690.0,1292.0,2.0,3.0,261.0,2017-05-01
640.73,1925.0,6037.0,38257.0,690.0,1.0,2.0,261.0,2017-05-01
2128.2,1937.0,6037.0,161736.0,958.0,1.0,2.0,261.0,2017-05-01
2275.39,1955.0,6037.0,186363.0,1362.0,2.0,3.0,261.0,2017-05-01
5427.21,1991.0,6037.0,440438.0,1862.0,2.0,3.0,261.0,2017-05-01
1234.22,1954.0,6037.0,94225.0,2133.0,3.0,3.0,261.0,2017-05-01
631.22,1947.0,6037.0,43850.0,957.0,1.0,2.0,261.0,2017-05-01
5301.61,1951.0,6037.0,433500.0,1336.0,2.0,3.0,261.0,2017-05-01
2607.88,1948.0,6037.0,214215.0,1371.0,2.0,3.0,261.0,2017-05-01
2619.82,1978.0,6037.0,203463.0,1419.0,2.0,3.0,261.0,2017-05-01
4589.61,1950.0,6037.0,378000.0,810.0,1.0,2.0,261.0,2017-05-01
2643.28,1949.0,6037.0,212932.0,1306.0,2.0,3.0,261.0,2017-05-01
3527.94,1978.0,6037.0,275849.0,1926.0,3.0,4.0,261.0,2017-05-01
3412.33,1951.0,6037.0,274197.0,1649.0,2.0,3.0,261.0,2017-05-01
2087.18,1949.0,6037.0,164436.0,1095.0,1.0,2.0,261.0,2017-05-01
5087.78,1956.0,6037.0,415924.0,1662.0,2.0,3.0,261.0,2017-05-01
3358.6,1950.0,6037.0,264609.0,1615.0,2.0,3.0,261.0,2017-05-01
4442.19,1947.0,6037.0,355336.0,1118.0,1.0,3.0,261.0,2017-05-01
2505.59,1949.0,6037.0,205299.0,1369.0,2.0,2.0,261.0,2017-05-01
3084.58,1949.0,6037.0,254564.0,1148.0,1.0,3.0,261.0,2017-05-01
807.39,1953.0,6037.0,53387.0,1216.0,2.0,3.0,261.0,2017-05-01
824.57,1952.0,6037.0,63736.0,1602.0,2.0,4.0,261.0,2017-05-01
4040.11,1950.0,6037.0,334117.0,1437.0,2.0,5.0,261.0,2017-05-01
2886.11,1958.0,6037.0,230763.0,1352.0,2.0,3.0,261.0,2017-05-01
2726.42,1950.0,6037.0,212913.0,1105.0,1.0,2.0,261.0,2017-05-01
3236.02,1950.0,6037.0,268294.0,986.0,1.0,2.0,261.0,2017-05-01
4937.68,1952.0,6037.0,408899.0,1396.0,2.0,2.0,261.0,2017-05-01
705.55,1955.0,6037.0,48826.0,1484.0,2.0,3.0,261.0,2017-05-01
3709.74,1949.0,6037.0,299428.0,2143.0,3.0,3.0,261.0,2017-05-01
5309.04,1953.0,6037.0,438000.0,1728.0,2.0,3.0,261.0,2017-05-01
5997.19,1931.0,6037.0,497706.0,1499.0,2.0,3.0,261.0,2017-05-01
2541.78,1955.0,6037.0,200962.0,1955.0,2.0,2.0,261.0,2017-05-01
2240.34,1934.0,6037.0,174986.0,2166.0,2.0,2.0,261.0,2017-05-01
1320.34,1947.0,6037.0,92110.0,1696.0,2.0,4.0,261.0,2017-05-01
1439.99,1941.0,6037.0,108473.0,2220.0,3.0,4.0,261.0,2017-05-01
3754.57,1958.0,6037.0,307134.0,1873.0,3.0,3.0,261.0,2017-05-01
3006.1,1950.0,6037.0,245563.0,1782.0,2.0,3.0,261.0,2017-05-01
2281.15,1941.0,6037.0,188689.0,780.0,2.0,3.0,261.0,2017-05-01
4129.7,1950.0,6037.0,334587.0,1266.0,2.0,3.0,261.0,2017-05-01
3837.12,1951.0,6037.0,311974.0,926.0,1.0,2.0,261.0,2017-05-01
2570.29,1955.0,6037.0,209797.0,1643.0,2.0,3.0,261.0,2017-05-01
5853.25,1955.0,6037.0,477465.0,1720.0,2.0,3.0,261.0,2017-05-01
2597.69,1949.0,6037.0,207721.0,684.0,1.0,1.0,261.0,2017-05-01
10570.1,1955.0,6037.0,870000.0,2016.0,3.0,3.0,261.0,2017-05-01
4750.27,1956.0,6037.0,379950.0,1948.0,3.0,4.0,261.0,2017-05-01
1313.96,1955.0,6037.0,105574.0,1480.0,2.0,2.0,261.0,2017-05-01
23494.42,1947.0,6037.0,1941626.0,3700.0,4.0,4.0,261.0,2017-05-01
5899.02,1938.0,6037.0,483441.0,1181.0,2.0,2.0,261.0,2017-05-01
624.59,1947.0,6037.0,49864.0,800.0,1.0,2.0,261.0,2017-05-01
5206.63,1940.0,6037.0,429365.0,1292.0,1.0,2.0,261.0,2017-05-01
15912.78,1949.0,6037.0,1308488.0,4528.0,5.0,5.0,261.0,2017-05-01
868.69,1949.0,6037.0,61666.0,1101.0,1.0,3.0,261.0,2017-05-01
3594.24,1952.0,6037.0,291649.0,1411.0,2.0,2.0,261.0,2017-05-01
4175.25,1949.0,6037.0,343026.0,972.0,1.0,2.0,261.0,2017-05-01
758.29,1949.0,6037.0,56489.0,803.0,1.0,2.0,261.0,2017-05-01
6059.11,1949.0,6037.0,494426.0,752.0,1.0,2.0,261.0,2017-05-01
8299.38,1949.0,6037.0,678273.0,1885.0,3.0,3.0,261.0,2017-05-01
2782.53,1954.0,6037.0,227563.0,1615.0,2.0,2.0,261.0,2017-05-01
14748.37,2008.0,6037.0,1214888.0,4225.0,6.0,5.0,261.0,2017-05-01
3847.26,1950.0,6037.0,305091.0,1239.0,2.0,2.0,261.0,2017-05-01
13978.59,1947.0,6037.0,1155000.0,2245.0,4.0,2.0,261.0,2017-05-01
2277.88,1950.0,6037.0,181448.0,2087.0,3.0,3.0,261.0,2017-05-01
5431.96,1952.0,6037.0,440247.0,1815.0,2.0,2.0,261.0,2017-05-01
29324.65,1991.0,6037.0,1391624.0,3474.0,4.0,4.0,261.0,2017-05-01
6020.32,1962.0,6037.0,490636.0,2210.0,3.0,4.0,261.0,2017-05-01
9029.08,1951.0,6037.0,752000.0,1412.0,2.0,3.0,261.0,2017-05-01
6124.78,1940.0,6037.0,508492.0,1432.0,2.0,3.0,261.0,2017-05-01
10138.53,1941.0,6037.0,836081.0,2044.0,4.0,3.0,261.0,2017-05-01
4345.2,1941.0,6037.0,351238.0,1148.0,2.0,3.0,261.0,2017-05-01
1131.57,1949.0,6037.0,84453.0,1160.0,1.0,3.0,261.0,2017-05-01
9877.18,1946.0,6037.0,822351.0,1847.0,2.0,3.0,261.0,2017-05-01
9582.58,1947.0,6037.0,790574.0,1696.0,2.0,2.0,261.0,2017-05-01
4556.88,1940.0,6037.0,373305.0,1793.0,3.0,3.0,261.0,2017-05-01
9844.73,1940.0,6037.0,815000.0,1057.0,1.0,2.0,261.0,2017-05-01
7926.5,1948.0,6037.0,649101.0,1270.0,2.0,2.0,261.0,2017-05-01
14955.39,1950.0,6037.0,1233617.0,1826.0,2.0,3.0,261.0,2017-05-01
5016.61,1937.0,6037.0,408711.0,2144.0,3.0,5.0,261.0,2017-05-01
3257.3,1951.0,6037.0,259935.0,2471.0,3.0,3.0,261.0,2017-05-01
4708.5,1952.0,6037.0,388074.0,2033.0,3.0,3.0,261.0,2017-05-01
4252.56,1948.0,6037.0,348453.0,2312.0,3.0,4.0,261.0,2017-05-01
2250.51,1948.0,6037.0,181388.0,1022.0,2.0,2.0,261.0,2017-05-01
8474.26,1984.0,6037.0,704399.0,1436.0,2.0,3.0,261.0,2017-05-01
65142.12,1992.0,6037.0,5416482.0,7818.0,7.0,5.0,261.0,2017-05-01
3369.57,1940.0,6037.0,258225.0,1560.0,2.0,2.0,261.0,2017-05-01
3019.71,1970.0,6037.0,225916.0,2854.0,3.0,3.0,261.0,2017-05-01
2479.57,1973.0,6037.0,185765.0,2328.0,3.0,3.0,261.0,2017-05-01
7141.0,1948.0,6037.0,581357.0,1917.0,2.0,2.0,261.0,2017-05-01
8927.8,1947.0,6037.0,727695.0,2543.0,3.0,4.0,261.0,2017-05-01
16807.14,1940.0,6037.0,1607473.0,3273.0,5.0,4.0,261.0,2017-05-01
5358.76,1939.0,6037.0,444000.0,1071.0,1.0,2.0,261.0,2017-05-01
2753.09,1956.0,6037.0,203016.0,2629.0,2.0,2.0,261.0,2017-05-01
4888.71,1956.0,6037.0,397270.0,1787.0,2.0,3.0,261.0,2017-05-01
20716.26,1957.0,6037.0,1680914.0,3574.0,4.0,4.0,261.0,2017-05-01
3998.55,1955.0,6037.0,320919.0,2145.0,2.0,3.0,261.0,2017-05-01
13738.3,1955.0,6037.0,1116775.0,4258.0,4.0,6.0,261.0,2017-05-01
2134.62,1960.0,6037.0,157564.0,2318.0,2.0,3.0,261.0,2017-05-01
14232.87,1962.0,6037.0,1166444.0,3488.0,3.0,4.0,261.0,2017-05-01
10587.27,1964.0,6037.0,860795.0,4296.0,4.0,5.0,261.0,2017-05-01
2983.98,1948.0,6037.0,222236.0,2828.0,3.0,4.0,261.0,2017-05-01
1869.43,1952.0,6037.0,140792.0,2183.0,3.0,3.0,261.0,2017-05-01
9234.77,1955.0,6037.0,759523.0,2082.0,2.0,3.0,261.0,2017-05-01
9440.35,1939.0,6037.0,777734.0,2982.0,3.0,4.0,261.0,2017-05-01
9507.39,1940.0,6037.0,776888.0,1821.0,2.0,2.0,261.0,2017-05-01
14719.36,1966.0,6037.0,1223000.0,2430.0,3.0,4.0,261.0,2017-05-01
11863.27,1957.0,6037.0,977282.0,2360.0,3.0,3.0,261.0,2017-05-01
8509.59,1959.0,6037.0,684611.0,3213.0,3.0,4.0,261.0,2017-05-01
20945.95,1959.0,6037.0,1725000.0,2989.0,4.0,4.0,261.0,2017-05-01
8960.96,1950.0,6037.0,702220.0,5164.0,5.0,7.0,261.0,2017-05-01
11308.04,1966.0,6037.0,926843.0,1854.0,3.0,3.0,261.0,2017-05-01
4880.13,1965.0,6037.0,380775.0,2810.0,3.0,4.0,261.0,2017-05-01
14375.09,1962.0,6037.0,1177489.0,2623.0,3.0,5.0,261.0,2017-05-01
2459.47,1961.0,6037.0,186351.0,2488.0,3.0,5.0,261.0,2017-05-01
2888.53,1960.0,6037.0,221517.0,2754.0,3.0,5.0,261.0,2017-05-01
9396.67,1969.0,6037.0,748626.0,3167.0,4.0,4.0,261.0,2017-05-01
9880.43,1964.0,6037.0,786457.0,4230.0,6.0,3.0,261.0,2017-05-01
13691.89,1972.0,6037.0,1106909.0,3817.0,5.0,4.0,261.0,2017-05-01
4593.59,1966.0,6037.0,363002.0,2269.0,3.0,3.0,261.0,2017-05-01
8747.06,1967.0,6037.0,698910.0,2629.0,3.0,3.0,261.0,2017-05-01
23066.9,1969.0,6037.0,1895312.0,5400.0,6.0,5.0,261.0,2017-05-01
14669.44,1965.0,6037.0,1191769.0,3786.0,5.0,5.0,261.0,2017-05-01
5234.46,1956.0,6037.0,428201.0,1484.0,2.0,3.0,261.0,2017-05-01
4631.06,1961.0,6037.0,375594.0,1764.0,2.0,3.0,261.0,2017-05-01
3268.86,1957.0,6037.0,252502.0,2240.0,3.0,3.0,261.0,2017-05-01
6726.14,1955.0,6037.0,555128.0,2263.0,2.0,4.0,261.0,2017-05-01
2958.11,1962.0,6037.0,232743.0,1872.0,2.0,4.0,261.0,2017-05-01
4237.09,1954.0,6037.0,336562.0,1418.0,1.0,4.0,261.0,2017-05-01
1125.76,1953.0,6037.0,74309.0,1596.0,2.0,3.0,261.0,2017-05-01
3989.21,1951.0,6037.0,323511.0,1065.0,1.0,3.0,261.0,2017-05-01
1696.42,1948.0,6037.0,134694.0,1790.0,3.0,4.0,261.0,2017-05-01
3078.24,1948.0,6037.0,246608.0,1026.0,1.0,3.0,261.0,2017-05-01
4714.92,1949.0,6037.0,391885.0,1017.0,1.0,3.0,261.0,2017-05-01
4191.69,1966.0,6037.0,341891.0,1725.0,2.0,3.0,261.0,2017-05-01
3430.31,1941.0,6037.0,276332.0,900.0,1.0,2.0,261.0,2017-05-01
4150.43,1956.0,6037.0,343473.0,1312.0,2.0,3.0,261.0,2017-05-01
2526.39,1948.0,6037.0,194734.0,1008.0,1.0,3.0,261.0,2017-05-01
5136.75,1945.0,6037.0,427000.0,1026.0,1.0,3.0,261.0,2017-05-01
1667.56,1944.0,6037.0,129438.0,996.0,1.0,3.0,261.0,2017-05-01
2407.73,1944.0,6037.0,198128.0,1008.0,1.0,2.0,261.0,2017-05-01
5482.55,1967.0,6037.0,441633.0,1591.0,2.0,3.0,261.0,2017-05-01
2937.3,1948.0,6037.0,234833.0,1360.0,1.0,2.0,261.0,2017-05-01
2672.1,1944.0,6037.0,212205.0,1015.0,1.0,3.0,261.0,2017-05-01
2655.27,1949.0,6037.0,212205.0,984.0,1.0,3.0,261.0,2017-05-01
2208.13,1952.0,6037.0,180134.0,1514.0,2.0,4.0,261.0,2017-05-01
4014.8,1947.0,6037.0,330830.0,1660.0,2.0,3.0,261.0,2017-05-01
2962.91,1941.0,6037.0,244573.0,1040.0,2.0,4.0,261.0,2017-05-01
4772.93,1965.0,6037.0,386172.0,1705.0,2.0,3.0,261.0,2017-05-01
3618.28,1924.0,6037.0,299856.0,1032.0,1.0,2.0,261.0,2017-05-01
3033.69,1950.0,6037.0,249575.0,1561.0,2.0,2.0,261.0,2017-05-01
4164.96,1947.0,6037.0,344809.0,1266.0,2.0,3.0,261.0,2017-05-01
7412.75,1942.0,6037.0,609000.0,1863.0,3.0,5.0,261.0,2017-05-01
1568.28,1947.0,6037.0,127198.0,1247.0,1.0,3.0,261.0,2017-05-01
5529.7,1947.0,6037.0,452500.0,1428.0,2.0,3.0,261.0,2017-05-01
1104.11,1950.0,6037.0,79577.0,1040.0,1.0,3.0,261.0,2017-05-01
1614.83,1951.0,6037.0,129809.0,1339.0,2.0,3.0,261.0,2017-05-01
5664.87,1955.0,6037.0,468871.0,1654.0,2.0,3.0,261.0,2017-05-01
4549.49,1956.0,6037.0,369852.0,1540.0,2.0,3.0,261.0,2017-05-01
2767.94,1956.0,6037.0,225617.0,1820.0,2.0,4.0,261.0,2017-05-01
4245.94,1936.0,6037.0,346284.0,1804.0,4.0,4.0,261.0,2017-05-01
4678.12,1954.0,6037.0,380718.0,1393.0,2.0,3.0,261.0,2017-05-01
7966.44,1960.0,6037.0,649000.0,2201.0,3.0,4.0,261.0,2017-05-01
2552.01,1949.0,6037.0,204882.0,1890.0,2.0,2.0,261.0,2017-05-01
2787.02,1926.0,6037.0,221685.0,1716.0,3.0,3.0,261.0,2017-05-01
7764.31,1953.0,6037.0,636620.0,1972.0,2.0,3.0,261.0,2017-05-01
7331.39,1949.0,6037.0,600608.0,1923.0,2.0,3.0,261.0,2017-05-01
3302.38,1953.0,6037.0,265519.0,1898.0,2.0,3.0,261.0,2017-05-01
4173.41,1947.0,6037.0,339530.0,957.0,1.0,3.0,261.0,2017-05-01
2507.36,1950.0,6037.0,203969.0,1600.0,2.0,3.0,261.0,2017-05-01
2478.58,1956.0,6037.0,199016.0,1437.0,2.0,3.0,261.0,2017-05-01
2728.1,1938.0,6037.0,223790.0,1402.0,2.0,2.0,261.0,2017-05-01
5929.23,1940.0,6037.0,485705.0,1178.0,1.0,2.0,261.0,2017-05-01
4268.81,1955.0,6037.0,341653.0,2518.0,3.0,6.0,261.0,2017-05-01
1268.94,1947.0,6037.0,99965.0,1575.0,2.0,3.0,261.0,2017-05-01
3046.23,1952.0,6037.0,251709.0,1212.0,2.0,3.0,261.0,2017-05-01
1040.03,1940.0,6037.0,82437.0,1142.0,1.0,2.0,261.0,2017-05-01
1954.35,1941.0,6037.0,159680.0,896.0,1.0,2.0,261.0,2017-05-01
823.07,1952.0,6037.0,63944.0,1498.0,2.0,2.0,261.0,2017-05-01
3848.05,1948.0,6037.0,312068.0,938.0,1.0,2.0,261.0,2017-05-01
2829.85,1952.0,6037.0,231693.0,1436.0,2.0,3.0,261.0,2017-05-01
4138.32,1943.0,6037.0,333629.0,1492.0,2.0,3.0,261.0,2017-05-01
1495.33,1947.0,6037.0,121054.0,1109.0,1.0,1.0,261.0,2017-05-01
7976.78,1928.0,6037.0,651433.0,2735.0,4.0,4.0,261.0,2017-05-01
1905.93,1952.0,6037.0,152964.0,1610.0,2.0,3.0,261.0,2017-05-01
4523.36,1959.0,6037.0,364169.0,2213.0,3.0,3.0,261.0,2017-05-01
1656.22,1963.0,6037.0,124634.0,2218.0,3.0,3.0,261.0,2017-05-01
5316.38,1950.0,6037.0,439135.0,1751.0,2.0,2.0,261.0,2017-05-01
7837.37,1951.0,6037.0,599831.0,1178.0,1.0,2.0,261.0,2017-05-01
12400.6,1953.0,6037.0,735000.0,2176.0,3.0,5.0,261.0,2017-05-01
1055.88,1954.0,6037.0,77825.0,1366.0,2.0,3.0,261.0,2017-05-01
909.21,1940.0,6037.0,65188.0,1325.0,1.0,2.0,261.0,2017-05-01
3589.63,1956.0,6037.0,294224.0,1879.0,2.0,3.0,261.0,2017-05-01
7091.88,1950.0,6037.0,583570.0,1578.0,2.0,3.0,261.0,2017-05-01
8879.61,1950.0,6037.0,725903.0,1737.0,2.0,3.0,261.0,2017-05-01
10034.69,1984.0,6037.0,824353.0,3767.0,4.0,4.0,261.0,2017-05-01
5861.47,1983.0,6037.0,477574.0,2700.0,3.0,4.0,261.0,2017-05-01
4764.98,1948.0,6037.0,394661.0,1310.0,2.0,2.0,261.0,2017-05-01
3983.83,1948.0,6037.0,327038.0,1883.0,3.0,4.0,261.0,2017-05-01
7160.18,1939.0,6037.0,579131.0,1643.0,2.0,3.0,261.0,2017-05-01
2853.4,1942.0,6037.0,227011.0,1340.0,1.0,2.0,261.0,2017-05-01
4692.87,1939.0,6037.0,385964.0,1832.0,2.0,2.0,261.0,2017-05-01
1546.95,1941.0,6037.0,116169.0,1690.0,2.0,2.0,261.0,2017-05-01
2405.7,1947.0,6037.0,189903.0,1477.0,2.0,2.0,261.0,2017-05-01
10921.38,1945.0,6037.0,908300.0,1503.0,2.0,3.0,261.0,2017-05-01
1300.65,1950.0,6037.0,96672.0,1553.0,3.0,3.0,261.0,2017-05-01
7598.57,1955.0,6037.0,622297.0,3272.0,3.0,4.0,261.0,2017-05-01
10150.61,1955.0,6037.0,837580.0,1943.0,2.0,3.0,261.0,2017-05-01
1295.92,1954.0,6037.0,97710.0,1398.0,2.0,2.0,261.0,2017-05-01
8364.52,1952.0,6037.0,696040.0,1537.0,2.0,2.0,261.0,2017-05-01
7094.94,1954.0,6037.0,574041.0,2668.0,3.0,3.0,261.0,2017-05-01
6861.53,1951.0,6037.0,567799.0,2224.0,3.0,4.0,261.0,2017-05-01
6494.86,1951.0,6037.0,540919.0,1486.0,2.0,3.0,261.0,2017-05-01
6256.36,1951.0,6037.0,516951.0,1940.0,3.0,3.0,261.0,2017-05-01
2130.27,1938.0,6037.0,168837.0,2362.0,3.0,3.0,261.0,2017-05-01
6042.93,1938.0,6037.0,499559.0,1827.0,2.0,3.0,261.0,2017-05-01
7768.35,1936.0,6037.0,629578.0,4480.0,4.0,5.0,261.0,2017-05-01
1293.46,1964.0,6037.0,101222.0,1996.0,2.0,3.0,261.0,2017-05-01
4368.8,1941.0,6037.0,361758.0,1292.0,1.0,2.0,261.0,2017-05-01
7138.45,1940.0,6037.0,592398.0,1992.0,3.0,3.0,261.0,2017-05-01
3399.13,1941.0,6037.0,278089.0,1432.0,1.0,2.0,261.0,2017-05-01
1168.3,1948.0,6037.0,89212.0,1351.0,2.0,2.0,261.0,2017-05-01
14523.82,1939.0,6037.0,1196041.0,2458.0,4.0,4.0,261.0,2017-05-01
2385.87,1940.0,6037.0,183646.0,1275.0,2.0,2.0,261.0,2017-05-01
3253.01,1927.0,6037.0,261392.0,1383.0,1.0,2.0,261.0,2017-05-01
8097.15,1937.0,6037.0,666775.0,1542.0,2.0,3.0,261.0,2017-05-01
15507.55,1937.0,6037.0,1282551.0,3119.0,5.0,5.0,261.0,2017-05-01
31253.13,2012.0,6037.0,2600588.0,5106.0,5.0,5.0,261.0,2017-05-01
1510.76,1936.0,6037.0,106820.0,1586.0,2.0,3.0,261.0,2017-05-01
7086.43,1937.0,6037.0,583768.0,651.0,1.0,1.0,261.0,2017-05-01
6715.54,1936.0,6037.0,546266.0,2121.0,4.0,2.0,261.0,2017-05-01
1626.71,1955.0,6037.0,115932.0,1701.0,2.0,3.0,261.0,2017-05-01
16954.92,1955.0,6037.0,1400000.0,2596.0,3.0,4.0,261.0,2017-05-01
10496.1,1963.0,6037.0,873795.0,2001.0,2.0,2.0,261.0,2017-05-01
13982.19,1957.0,6037.0,1147030.0,3245.0,3.0,3.0,261.0,2017-05-01
5150.5,1960.0,6037.0,413811.0,2514.0,3.0,4.0,261.0,2017-05-01
4665.3,1947.0,6037.0,372591.0,2016.0,3.0,3.0,261.0,2017-05-01
5818.1,1964.0,6037.0,463179.0,2978.0,4.0,3.0,261.0,2017-05-01
3853.54,1960.0,6037.0,299317.0,3220.0,3.0,3.0,261.0,2017-05-01
15690.71,1951.0,6037.0,1290000.0,2178.0,3.0,3.0,261.0,2017-05-01
21902.49,1952.0,6037.0,1812185.0,2800.0,4.0,4.0,261.0,2017-05-01
